StudentID,Name,AttendancePercentage,AverageGrade,ExtracurricularActivities,StudyHoursPerWeek
1,Jacob Owens,73.32,72.23,1,16
2,Denise Williams,97.42,63.12,2,18
3,Joseph Barnes,93.99,64.92,1,1
4,Karen Arnold,91.33,74.0,2,3
5,Sydney Pena,86.74,99.95,4,0
6,Theresa Smith,94.66,70.86,1,31
7,Karen Montes,88.97,53.37,3,26
8,Makayla Mata,92.39,95.83,5,10
9,Jennifer Bauer,69.8,97.13,2,24
10,Jennifer Miller,88.85,50.53,4,23
11,Vincent Cervantes,81.61,50.06,0,7
12,John Cruz,89.43,88.29,5,30
13,Kathy Johnson,66.5,89.15,1,19
14,Mr. Thomas Anderson,75.75,55.22,0,12
15,Alejandra Olsen,89.92,55.47,3,10
16,Amy James,74.72,40.49,4,25
17,John Harper,99.37,65.99,4,33
18,Grace Bryan,99.17,91.06,4,3
19,Kevin Murphy,79.33,82.8,4,10
20,Tiffany Thomas,85.59,68.62,1,32
21,Karen Rodriguez,86.88,73.05,4,13
22,Carrie Rivera,60.43,82.88,0,18
23,Mark Smith,66.16,43.89,0,4
24,Gene Mathis,64.44,66.92,3,14
25,Matthew Cole,97.02,93.25,0,13
26,Richard Hancock,88.01,97.93,3,14
27,Angela Melendez,97.39,44.95,1,5
28,Brianna Mcmahon,79.09,51.69,2,32
29,Edward Harris,70.79,86.67,3,20
30,Jennifer Schmidt MD,67.15,77.95,4,33
31,Erica Brown,74.4,66.46,3,30
32,Daniel Long,83.1,62.87,1,15
33,Chad Hartman,90.72,91.56,1,5
34,John Shaw,83.4,43.76,2,34
35,Sabrina Vargas,89.53,81.85,1,7
36,Tony Jefferson,76.39,57.82,2,27
37,Adrian Gomez,77.01,71.54,4,28
38,Rhonda Chan,62.41,78.76,1,12
39,Shawn Scott,71.59,41.41,4,16
40,Nicole Ramirez,79.09,46.93,4,37
41,Joshua Olson,64.91,96.23,5,12
42,Christopher Glenn,97.11,40.98,1,1
43,Andrew Hardin,93.41,99.43,5,22
44,Vicki Jenkins,60.16,48.42,0,18
45,Patrick Martin,76.31,55.38,3,22
46,Clayton Scott,89.44,80.78,1,20
47,Barbara Mata,72.97,74.58,1,29
48,Tammy Hogan,87.6,89.62,0,31
49,Marie Estes,85.24,94.32,2,28
50,Jeffrey Dodson,68.22,56.7,5,9
51,Joel Jones,71.16,79.94,0,27
52,Tammy Cooper,77.72,98.29,3,38
53,Mr. Alejandro Miller,82.87,79.16,5,26
54,Kelly Andrade,84.48,88.86,5,39
55,Desiree Christensen,96.7,75.64,1,22
56,Kenneth Morgan,91.48,69.17,5,2
57,Sabrina Johnson,98.35,48.08,0,38
58,Destiny Poole,90.86,85.28,1,24
59,Katherine Anderson,60.95,48.63,1,26
60,Nicole Berry,79.54,60.08,0,13
61,William Spence,90.34,66.44,4,22
62,Emily Reed,67.88,71.15,1,18
63,Amanda Brown,84.43,70.03,2,0
64,Tina Jones DDS,76.35,47.78,5,30
65,Nicholas Schmitt,98.05,96.06,4,0
66,Sabrina Miller,93.09,63.89,5,15
67,Jeffrey Schwartz,77.52,62.12,5,18
68,Timothy Taylor,97.51,52.05,2,17
69,Jennifer Brown,87.6,61.49,1,29
70,Andrew Cobb,74.99,92.88,4,13
71,Mrs. Yvette Gonzales,91.08,65.91,3,29
72,Phillip Simpson,97.54,60.74,0,27
73,Robyn Rodriguez,85.5,52.35,5,25
74,Jennifer Davis MD,70.33,70.29,2,19
75,Edward Morrison,93.46,51.0,3,28
76,Teresa Reyes,92.44,93.62,1,27
77,Heather Taylor,85.69,60.05,1,21
78,Christopher Jenkins,91.89,43.11,5,25
79,Rebecca Wright,78.03,93.88,2,40
80,Thomas Jefferson,69.77,75.53,2,9
81,Lisa Novak,79.74,62.91,1,15
82,Julie Garcia,68.16,41.7,1,0
83,Marissa Santana,96.26,49.45,5,19
84,Troy Thompson,82.16,72.98,4,20
85,David Smith,76.56,75.71,5,20
86,Mrs. Whitney Long,90.91,79.8,1,24
87,Jon Wolf,64.56,59.11,2,15
88,Denise Morgan,65.68,82.49,0,4
89,Brian Reynolds,82.32,64.94,2,32
90,Haley Diaz,70.08,46.53,5,0
91,Frank White,64.7,69.68,1,26
92,Brooke Padilla,66.64,88.67,4,32
93,Kristen Smith,80.51,68.39,4,19
94,Steven Mitchell,60.91,70.37,5,3
95,Terry Patterson,73.99,95.52,0,7
96,Gary Howard,94.68,54.17,3,4
97,Darrell Santiago,80.34,94.88,1,23
98,Joseph Scott,66.66,59.95,4,7
99,Ralph Gibson,60.96,92.82,1,31
100,Lance Jensen,98.84,63.96,3,17
